date,gap,month,post
2022-01-01,-0.026246607544907513,1,0
2022-02-01,-0.004738742402086105,2,0
2022-03-01,-0.0568563475785655,3,0
2022-04-01,-0.05521608070099343,4,0
2022-05-01,-0.025749369247626885,5,0
2022-06-01,-0.10819254070887202,6,0
2022-07-01,-0.07958748283317507,7,0
2022-08-01,-0.0515957143158326,8,0
2022-09-01,-0.08572716789155993,9,0
2022-10-01,0.037399701481104164,10,0
2022-11-01,0.09423442144057176,11,0
2022-12-01,-0.02255635441429904,12,0
2023-01-01,0.2703021906855275,1,0
2023-02-01,0.1513710065372874,2,0
2023-03-01,0.014687736841434429,3,0
2023-04-01,-0.046452254812052673,4,0
2023-05-01,-0.07394413505172504,5,0
2023-06-01,-0.08793254324763428,6,1
2023-07-01,-0.08670823306426845,7,1
2023-08-01,-0.053857319532269354,8,1
2023-09-01,-0.05525529329133577,9,1
2023-10-01,-0.04692811057556176,10,1
2023-11-01,0.012347511811645784,11,1
2023-12-01,-0.034138635530237715,12,1
2024-01-01,0.005491022642399146,1,1
2024-02-01,0.07179273780246714,2,1
2024-03-01,-0.03990420008858281,3,1
2024-04-01,-0.04009250607108139,4,1
2024-05-01,-0.11488105884812583,5,1
2024-06-01,-0.14140331606577994,6,1
2024-07-01,-0.15304287644875,7,1
2024-08-01,-0.12098101208735396,8,1
2024-09-01,-0.15943112664106424,9,1
2024-10-01,-0.13709524056977504,10,1
2024-11-01,-0.0799538156134606,11,1
